Part Name,Part Description,Part Quantity,Total Part Price,Part Link,
GOTOH VK1-19 Domed Guitar Knob for 6mm diameter pots,Knobs for volume and tone potentiometers,2,$9.98,https://www.philadelphialuthiertools.com/knobs/volume-and-tone-control-knobs/gotoh-vk1-19-domed-guitar-knob-for-6mm-diameter-pots/,
"CTS Control Pots, Split shaft, 250K",Potentiometers for adjusting volume and tone,2,$16.38,https://www.stewmac.com/electronics/components-and-parts/potentiometers/cts-control-pots/,
"Switchcraft 1/4"" Guitar Output Jack",Jack to plug guitar into amplifier,1,$4.41,https://www.philadelphialuthiertools.com/electronics/jacks/switchcraft-1-4-guitar-output-jack/?searchid=2167299&search_query=jack+plate,
GOTOH NBS-3 Steel Neck Plate,Plate for attaching neck to body,1,$9.99,https://www.philadelphialuthiertools.com/neck-plates/gotoh-nbs-3-steel-neck-plate/?searchid=2167306&search_query=neck+plate,
GOTOH GB10 Bass Tuning Machines Tuners - Preconfigured Sets,Tuning machines for tuning bass strings,1,$46.49,https://www.philadelphialuthiertools.com/bass-tuning-machines/gotoh-gb10-bass-tuning-machines-tuners-preconfigured-sets/,
GOTOH EP-B1 Standard Size Strap Button,Buttons to attach bass strap to bass,2,$6.48,https://www.philadelphialuthiertools.com/misc-hardware/gotoh-ep-b1-standard-size-strap-button/?searchid=2167308&search_query=strap+buttons,
"PIO ""Blue Jacket"" Capacitors for guitar .047mfd",Filters frequencies so guitar sounds right,1,$6.41,https://www.philadelphialuthiertools.com/electronics/pio-blue-jacket-capacitors-for-guitar-047mfd/,
StewMac Pickups for P-Bass,Senses vibration and works with amp to convert it into sound,1,$67.49,https://www.stewmac.com/electronics/pickups/shop-all-our-pickups/stewmac-pickups-for-p-bass?queryid=039ce4d2ee392202eade2631a36cc258,
"Hot Rod Low-profile 2-Way Truss Rod, 24""",Stabilizes neck of bass,1,$11.29,https://www.stewmac.com/luthier-tools-and-supplies/materials/truss-rods/adjustable-truss-rods/hot-rod-low-profile-2-way-truss-rod/?queryid=a502c73a47aa096312570c0ada5c4fd2,
"Jescar Stainless Steel Fretwire FW57110-S Electric Jumbo Pre-radiused, 9.5""",Shortens amount of bass string that can vibrate to make different sounds,1,$20.74,https://www.philadelphialuthiertools.com/fretwire/jescar-stainless-steel-fretwire-fw57110-s-electric-jumbo-pre-radiused/,
Bone Nut Pre Shaped and slotted for Fender® Precision Bass,Secures strings at correct points,1,$6.30,https://www.philadelphialuthiertools.com/guitar-bass-nuts-saddles/bone-nut-pre-shaped-and-slotted-for-fender-precision-bass/,
GOTOH 201B-4 4-string bass bridge,Tightens strings and holds them on body,1,$41.71,https://www.philadelphialuthiertools.com/bridge-and-tailpieces/bass-bridges-and-tailpeices/gotoh-201b-4-4-string-bass-bridge/,
"Pickup Foam Height Springs - Precision Bass - 2 1/2"" x 3/4"" x 5/8"" - 2 pack",Allows for adjustment of height of pickups,1,$2.61,https://www.philadelphialuthiertools.com/mounting-rings/pickup-foam-height-springs-precision-bass-2-1-2-x-3-4-x-5-8-2-pack/,
Raspberry Pi Zero 2 W,SBC for running program to detect sound,1,$17.25,https://www.pishop.us/product/raspberry-pi-zero-2-w/?searchid=0&search_query=raspberry+pi+zero,
2.8inch Capacitive Touch Display RP2350 Development Board,Screen for displaying video when specific sounds are detected,1,$28.95,https://www.pishop.us/product/2-8inch-capacitive-touch-display-rp2350-development-board-240-320-ips-panel-5-point-touch-spi-accelerometer-and-gyroscope-sensor/,
BNTECHGO 22 Gauge Silicone Wire red and Black,Wire for hooking up electronics,1,$7.48,https://www.amazon.com/BNTECHGO-Silicone-Flexible-Strands-Stranded/dp/B01MFEV8SG?th=1,
Wood,"Repurposed hardwood for body, neck, and fretboard, self-sourced",1,$0,N/A,
"Ernie Ball Regular Slinky Nickel Wound Bass Guitar Strings, 50-105 Gauge",Strings to make the bass playable,1,$20.42,https://www.amazon.com/Ernie-Ball-Regular-Slinky-Nickel/dp/B000MFL7UU/ref=sr_1_6?crid=62KOW1PQF6TU&dib=eyJ2IjoiMSJ9.ynHL9S0s1d2nu61uEpEEBliZ8zlPK_GHC_RV3qUtVPx3oTAx0M7i9qGB7DIk2H0UGXbyZy4Cn9O9rcYP3LLD4oTo_tADYh2TDPOytJ84LuaiZEB1tKfuHQuGyo0hyfGP6IgfH0ou6lG2Ms4XqSNJtbXaMBtHGA4mdfBLQCVM6fn0ZV0yKGzJnmnUn1hNKYw4XLKo7ipMgKLnzsgUY9dAlDsmmT2qLimUyC00nq4v-ksIxTqLF-ea1v8WeVNVIdrmjjWe1IAwcn-IWYOwWDl3Gkhs064E5tdJIszkk3kdgvY.isup78_8eX5rDpQUj-xJ2ML-ZCBTo1e9Ahb0_Saq6jw&dib_tag=se&keywords=bass+strings&qid=1782623236&sprefix=bass+strin%2Caps%2C262&sr=8-6,
Shipping + Fees from StewMac,So I can get the parts from StewMac,1,$22.96,,
Wood Glue,To make sure everything stays in one piece,2,$19.16,https://www.amazon.com/Titebond-Ultimate-Wood-16-Ounces-1414/dp/B0002YQ3KA?dib=eyJ2IjoiMSJ9.VRJZQSZJ09s2eRefeHjHBan7AuCHIADI-R1bvUJd1r-UcCgipxsESvJI_L9ikWlPXcZlLPdcIj5XuToF5ggXfN3DQ5Xy1XocyZvuVYSYF408QJ5XHdqV1x_oh5M5J9GdWq81TQZISlRlrptyFeglqpNsXsTG4NM9jZ6bfLUe7mPtT1842Qwj7unkdp0wplG9ITKbscjT9oee1gKbPHXrhWaa9b0RS0pPNvdaoV4yx0ThGpIipds1wNHBZhJWEgJy8diIZeG3ohbCGgmoNJZ3WSKa9Om0O6oyvHlMctOY6w4.R78b-eWoYGZaQCOGDhJB4xpr9K6RBLrFo6Vhn9Qv95c&dib_tag=se&keywords=wood+glue&qid=1782848342&sr=8-7,
Shipping + Fees from Philidelphia Luthier,So I can get the parts from Philidelphia Luthier,1,$0,,
,,,,Total Cost:,$366.50
,,,,(The other $10 is for leeway in cases taxes or shipping changes at all),